iter	Passed	Remaining
732	8511	3100
733	8519	3087
734	8527	3074
735	8535	3061
736	8541	3048
737	8548	3034
738	8554	3021
739	8560	3007
740	8594	3003
741	8602	2990
742	8609	2977
743	8617	2965
744	8624	2952
745	8632	2939
746	8647	2928
747	8687	2926
748	8696	2914
749	8705	2901
750	8713	2889
751	8721	2876
752	8730	2863
753	8758	2857
754	8776	2847
755	8782	2834
756	8792	2822
757	8800	2809
758	8812	2798
759	8821	2785
760	8857	2781
761	8864	2768
762	8871	2755
763	8879	2742
764	8886	2729
765	8894	2717
766	8900	2703
767	8906	2690
768	8943	2686
769	8950	2673
770	8957	2660
771	8965	2647
772	8975	2635
773	8985	2623
774	8993	2611
775	9027	2605
776	9035	2593
777	9043	2580
778	9051	2567
779	9059	2555
780	9067	2542
781	9074	2529
782	9107	2523
783	9117	2512
784	9125	2499
785	9131	2486
786	9138	2473
787	9144	2460
788	9150	2447
789	9157	2434
790	9196	2429
791	9208	2418
792	9215	2405
793	9222	2392
794	9232	2380
795	9243	2369
796	9281	2364
797	9291	2351
798	9299	2339
799	9307	2326
800	9315	2314
801	9323	2301
802	9331	2289
803	9354	2280
804	9370	2269
805	9377	2257
806	9385	2244
807	9392	2231
808	9399	2219
809	9405	2206
810	9412	2193
811	9418	2180
812	9462	2176
813	9468	2163
814	9475	2150
815	9482	2138
816	9490	2125
817	9498	2113
818	9505	2100
819	9542	2094
820	9549	2082
821	9556	2069
822	9563	2056
823	9569	2043
824	9575	2031
825	9581	2018
826	9588	2005
827	9622	1998
828	9631	1986
829	9639	1974
830	9648	1962
831	9654	1949
832	9662	1937
833	9668	1924
834	9675	1911
835	9713	1905
836	9724	1893
837	9731	1881
838	9737	1868
839	9744	1856
840	9751	1843
841	9757	1830
842	9763	1818
843	9795	1810
844	9805	1798
845	9818	1787
846	9827	1775
847	9836	1763
848	9847	1751
849	9884	1744
850	9893	1732
851	9902	1720
852	9912	1708
853	9919	1695
854	9926	1683
855	9932	1670
856	9967	1663
857	9975	1650
858	9984	1638
859	9993	1626
860	10001	1614
861	10009	1602
862	10017	1590
863	10059	1583
864	10068	1571
865	10077	1559
866	10086	1547
867	10095	1535
868	10103	1523
869	10140	1515
870	10149	1503
871	10156	1490
872	10164	1478
873	10170	1466
874	10178	1454
875	10187	1442
876	10211	1432
877	10225	1420
878	10233	1408
879	10239	1396
880	10245	1383
881	10251	1371
882	10260	1359
883	10269	1347
884	10310	1339
885	10318	1327
886	10327	1315
887	10335	1303
888	10342	1291
889	10349	1279
890	10356	1267
891	10388	1257
892	10395	1245
893	10402	1233
894	10409	1221
895	10417	1209
896	10424	1197
897	10431	1184
898	10438	1172
899	10478	1164
900	10487	1152
901	10497	1140
902	10506	1128
903	10515	1116
904	10525	1104
905	10568	1096
906	10576	1084
907	10584	1072
908	10592	1060
909	10600	1048
910	10608	1036
911	10616	1024
912	10654	1015
913	10662	1003
914	10679	992
915	10688	980
916	10696	968
917	10704	956
918	10737	946
919	10745	934
920	10753	922
921	10760	910
922	10767	898
923	10774	886
924	10782	874
925	10818	864
926	10826	852
927	10834	840
928	10840	828
929	10847	816
930	10853	804
931	10859	792
932	10865	780
933	10872	768
934	10906	758
935	10914	746
936	10920	734
937	10927	722
938	10934	710
939	10940	698
940	10946	686
941	10952	674
942	10987	664
943	10993	652
944	10999	640
945	11006	628
946	11013	616
947	11019	604
948	11025	592
949	11034	580
950	11070	570
951	11081	558
952	11089	546
953	11095	534
954	11101	523
955	11108	511
956	11114	499
957	11121	487
958	11157	477
959	11164	465
960	11171	453
961	11179	441
962	11186	429
963	11193	418
964	11201	406
965	11238	395
966	11245	383
967	11251	371
968	11258	360
969	11264	348
970	11272	336
971	11281	324
972	11290	313
973	11331	302
974	11339	290
975	11347	279
976	11355	267
977	11364	255
978	11372	243
979	11410	232
980	11419	221
981	11426	209
982	11439	197
983	11451	186
984	11460	174
985	11495	163
986	11504	151
987	11512	139
988	11519	128
989	11526	116
990	11533	104
991	11540	93
992	11547	81
993	11584	69
994	11592	58
995	11599	46
996	11606	34
997	11612	23
998	11619	11
999	11626	0
